time,totalLiquidVolume_mL,totalLiquidMass_g
1e-06,4.78559818e-06,4.78559818e-06
2e-06,5.89512574e-06,5.89512574e-06
3e-06,6.88137535e-06,6.88137535e-06
4e-06,7.76608272e-06,7.76608272e-06
5e-06,8.56620864e-06,8.56620864e-06
6e-06,9.29514112e-06,9.29514112e-06
7e-06,9.96359479e-06,9.96359479e-06
8e-06,1.0580178e-05,1.0580178e-05
9e-06,1.11519249e-05,1.11519249e-05
1e-05,1.16846439e-05,1.16846439e-05
1.1e-05,1.21831728e-05,1.21831728e-05
1.2e-05,1.2651579e-05,1.2651579e-05
